"abstracts","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"New insights into the causes of cancer. Recent advances in molecular biologic analysis have led to major new insights concerning the genetic mechanisms underlying the development of cancer. This article examines the current state of our understanding of the genetic basis underlying the possible mechanisms of carcinogenesis and metastasis. The nature of the genetic lesions found in some cancer-causing genes, cancer-inhibiting genes, growth factor genes, and metastasis genes is discussed, as is the impact that these may have on clinical oncology.",138,"1","2024-04-24T20:41:31.695405Z",134,18.83,"1","2024-04-24T20:41:31.695405Z"
"Window operation: an alternative treatment method for Bartholin gland cysts and abscesses Recently, we developed the ""window operation"" as a more effective way to treat Bartholin gland cysts and abscesses. The window operation was used to treat 25 Bartholin cysts and 22 Bartholin abscesses during a 3-year period from October 1, 1986 to September 30, 1989. Under local anesthesia, a small piece of skin including the cyst wall was excised in an oval shape, and suturing was performed along the excised margin. Postoperative antibiotics were given in cases of acute inflammation. A new mucocutaneous junction was observed at the 4-week postoperative checkup. No complications or recurrences have been observed during the study period. The window operation can be an alternative method of treatment for Bartholin gland cysts or abscesses.",139,"1","2024-04-24T20:41:50.084296Z",135,17.288,"5","2024-04-24T20:41:50.084296Z"
"Treatment of ventricular tachycardia induced cardiogenic shock by percoronary chemical ablation. Incessant ventricular arrhythmias pose an especially challenging therapeutic dilemma. We describe the successful treatment and follow-up of a patient with refractory ventricular tachycardia-induced cardiogenic shock with percoronary chemical ablation. After endocardial mapping was used to identify the ""tachycardia-related"" coronary artery, temporary termination of the arrhythmia with balloon occlusion and subselective intracoronary installation of iced saline as previously advocated was unsuccessful. This was probably due to a dual arterial blood supply to the arrhythmogenic focus. However, infusion of 2 cc ethanol (99%) permanently terminated the arrhythmia. Contrary to previous experience, ethanol-induced arrhythmia termination did not result in arterial occlusion, further supporting a direct toxic effect on the myocardium as its mode of action. Use of standard angioplasty balloon inflation prevents ""backwash"" of distally infused ethanol and more generalized cell death. The only complication of this procedure was temporary third-degree AV block, requiring permanent pacemaker implantation.",140,"1","2024-04-24T20:41:58.337428Z",136,6.949,"4","2024-04-24T20:41:58.337428Z"
"Purulent pericarditis and cardiac tamponade caused by Nocardia asteroides in mixed connective tissue disease. Pericardial nocardiosis is extremely rare, but may affect especially immunocompromised hosts. We describe the first reported case of purulent pericarditis with cardiac tamponade as the initial presentation of systemic nocardiosis in a patient with mixed connective tissue disease. Our case emphasizes the importance of identifying infectious causes of pericarditis in patients with connective tissue diseases. Longterm survival was achieved with a combined medical and surgical approach.",141,"1","2024-04-24T20:42:12.330846Z",137,12.648,"4","2024-04-24T20:42:12.330846Z"
"Stereotactic investigation of limbic epilepsy using a multimodal image analysis system. Technical note. A methodology has been developed for stereotactic investigation of limbic epilepsy using an image-analysis system that simultaneously displays different structural and functional images of the brain. The validity and accuracy of this system were established with phantom studies. Surgical planning and electrode implantation are guided by stereotactic magnetic resonance imaging, digital subtraction angiography, and position emission tomography. This methodology provides the spatiotemporal relationship of cerebral structure and function necessary to identify seizure onset and propagation in human limbic system epilepsy.",142,"1","2024-04-24T20:42:25.218646Z",138,11.598,"3","2024-04-24T20:42:25.218646Z"
"Intraventricular diamorphine via an Ommaya shunt for intractable cancer pain. We describe two patients in whom diamorphine was administered into the intraventricular space via an Ommaya reservoir, producing excellent pain relief. The use of this technique for long term administration of analgesia is reviewed.",143,"1","2024-04-24T20:42:50.588783Z",139,23.924,"1","2024-04-24T20:42:50.588783Z"
"A comparative study of histopathology, hormone receptors, peanut lectin binding, Ki-67 immunostaining, and nucleolar organizer region-associated proteins in human breast cancer. The current study was performed on 71 cases of human female breast cancer and compares the results of five morphologic methods developed for the detection of estrogen receptors (ER), progesterone receptors (PgR), lectin Peanut agglutinin (PNA) binding sites, monoclonal antibody Ki-67 immunoreactivity, and the mean number of argyrophilic nucleolar organizer regions (Ag-NOR). All the parameters were evaluated on serial cryostat sections representative of a closely related, if not identical, neoplastic population. A significant positive correlation was found between the occurrence of estrogen, progesterone, and peanut receptors and between Ki-67 immunoreactivity, mean number of NOR, and mitotic index. Furthermore, ER, PgR, and PNA receptors showed a significant, inverse correlation with Ki-67 immunoreactivity, mitotic index, and mean number of Ag-NOR. These results provide further data that support the hypothesis that (1) progesterone and PNA receptors are estrogen-induced and indicate a metabolic response of the target cells to functioning estrogen receptors; (2) the mean number of NOR reflects the cell kinetics of the tumor; and (3) metabolic differentiation of neoplastic cells is inversely correlated to the proliferation index.",144,"1","2024-04-24T20:43:12.249192Z",140,20.377,"1","2024-04-24T20:43:12.249192Z"
"A phase I study of a new cisplatin derivative for hematologic malignancies. DWA2114R (DWA) is a new derivative of platin compounds that is currently being used in Phase II studies of solid tumors in Japan. The dose-limiting factor is myelotoxicity with mild extramedullary toxicity. This Phase I study consisted of adult patients with relapsed hematologic malignancies. Eight patients received a total of 15 treatment courses of DWA. The starting dose was 800 mg/m2 over 24 hours by continuous infusion. The dose was first increased to 1200 mg/m2 and then to 1600 mg/m2. Clinical toxicity and urinary excretion studies of DWA suggested that 1200 mg/m2/d for successive days would be the best type of administration. When 1200 mg/m2/d was given for 5 days, Grade 2 to 3 diarrhea and nausea and vomiting were encountered requiring parenteral fluids and nutritional support. This suggested that the dose-limiting factor with this schedule was gastrointestinal toxicity. Myelotoxicity was severe, as expected, but tolerable. One of the five patients with acute nonlymphocytic leukemia (ANLL) entered into complete remission and one patient with chronic myelogenous leukemia (CML) in crisis returned to the chronic phase. A Phase II trial of DWA is warranted for hematologic malignancies, especially in myeloid diseases.",145,"1","2024-04-24T20:43:37.868714Z",141,16.088,"1","2024-04-24T20:43:37.868714Z"
"Biobehavioral factors in Cardiac Arrhythmia Pilot Study (CAPS). Review and examination. The behavioral studies component of the multicenter Cardiac Arrhythmia Pilot Study (CAPS) was designed to examine the relation of biobehavioral factors and frequency of ventricular premature complexes (VPCs), efficacy of antiarrhythmic therapy, and disease end points in a study population that had experienced recent myocardial infarction and significant ventricular ectopy. Biobehavioral factors included both psychosocial (depression, anxiety, social support, type A behavior, mood, defensiveness, and anger expressiveness) and psychophysiological (heart rate and blood pressure reactivity to a videogame stressor) variables. Data were collected at baseline and at 3-, 6-, 9-, and 12-month follow-ups. Of the 502 patients enrolled in CAPS, 353 participated in the behavioral studies component. At baseline, assessments of psychosocial variables revealed the CAPS study population to be generally similar to other heart disease populations, and no relation between these variables and psychophysiological reactivity or arrhythmias was found. At follow-up among patients assigned to the placebo condition, biobehavioral variables were not related to levels of VPCs or VPC suppression. Cox regression analyses revealed that type B behavior, depression, and reduced heart rate reactivity were associated with increased clinical events, even after controlling for baseline left ventricular ejection fraction, myocardial infarction before the qualifying event, use of beta-blockers, use of digitalis, Q wave of qualifying myocardial infarction, and presence of unsustained ventricular tachycardia on baseline electrocardiogram. It is hypothesized that the relation among reduced heart rate reactivity, depression, and clinical events is mediated by diminished cardiac vagal tone.",146,"1","2024-04-24T20:44:10.760916Z",142,31.702,"4","2024-04-24T20:44:10.760916Z"
"Learning a unimanual motor skill by partial commissurotomy patients. A series of motor tests on four Chinese partial commissurotomy patients is reported. The single-stage commissurotomy in all four patients included the anterior commissures and two-thirds or four-fifths section of the corpus callosum with sparing of the splenium. There was no demonstrable ability to transfer hand posture in these patients. This was the major evidence for functional deconnexion. A newly learned task of one-hand knotting revealed right hand impairment in all four patients. There was no dyspraxia in the right hand for over-learned object-handling tasks in these patients. It is suggested that there might be right hemisphere specialisation for the initial acquisition of unimanual object-handling skills and that the spared callosal fibres in the splenium alone are insufficient to mediate task control under these conditions. This is supported by the finding that one of these patients, who was the only one who had a right parietal lesion, was unable to perform the newly learned task with either hand.",147,"1","2024-04-24T20:49:05.577330Z",143,292.599,"5","2024-04-24T20:49:05.577330Z"
"Spontaneous regression in Merkel cell (neuroendocrine) carcinoma of the skin. In two Japanese women, 68 and 88 years old, Merkel cell (neuroendocrine) carcinoma of the face developed. Their tumors regressed after biopsy was performed, a rare occurrence. Histological and electron microscopic examination showed apoptosis, cellular necrosis, and an infiltration composed mainly of lymphocytes in the tumors. These changes may have been related to the mechanism of regression. It is interesting that our two patients were women, as was another patient described with Merkel cell carcinoma regression, in light of the fact that the prognosis of this tumor is sex dependent.",148,"1","2024-04-24T20:49:18.428008Z",144,11.61,"1","2024-04-24T20:49:18.428008Z"
"Structural and ultrastructural study of the ovary in childhood leukemia after successful treatment. Ovarian biopsy specimens from ten girls (three postmenarcheal) who had undergone antiblastic treatment for acute lymphoblastic leukemia (ALL) and were in complete remission were examined by light microscope. The biopsy specimens from four of these patients (three postmenarcheal) were also observed by electron microscope. The structural and ultrastructural analysis showed a reduction in the number of follicles which were otherwise normal. No follicles were found in the thin sections from two of the three postmenarcheal girls, whereas normal follicles were observed in the third. The cortical stroma showed moderate to severe signs of fibrosis and changes of capillaries. All of these alterations were more evident in patients where ALL was diagnosed at an older age and this finding suggests that they are at a higher risk for low fertility or early menopause.",149,"1","2024-04-24T20:49:28.843797Z",145,9.339,"1","2024-04-24T20:49:28.843797Z"
"Ureterosigmoidostomy: long-term results, risk of carcinoma and etiological factors for carcinogenesis. We followed postoperatively 75 patients who underwent ureterosigmoidostomy between 1942 and 1987. Of the patients 30 were asked to undergo routine examination, including fiberoptic sigmoidoscopy with biopsy and analysis of a urine-feces slurry for nitrate, nitrite and nitrosamines in comparison to 20 control volunteers. After a mean observation of 14 years 7 months (1 to 46 years) 64.5% of the patients had bilaterally normal kidneys without any previous complications, 77.5% of the renal units being normal. Sigmoidoscopic biopsy revealed 3 carcinomas at the ureterocolonic junction resulting in an 8.5 to 10.5-fold increased risk of colon carcinoma compared to the general population. The excretion of nitrite and N-nitrosamines was increased, and nitrate excretion was decreased compared to healthy control volunteers, suggesting endogenous formation of nitrosamines by bacterially reduced nitrate and endogenous amines. The urological long-term results of ureterosigmoidostomy are similar to those of conduits. However, the increased incidence of colon carcinoma is not yet proved to be higher than in conduits.",150,"1","2024-04-24T20:50:03.579208Z",146,31.987,"1","2024-04-24T20:50:03.579208Z"
"Respiratory symptoms and risk factors in an Arizona population sample of Anglo and Mexican-American whites. Prevalence rates of respiratory symptoms and diseases in a large group of Anglos and Mexican-Americans were analyzed. Each subject completed a questionnaire. Among current smokers, chronic productive cough and dyspnea were significantly higher in both ethnic groups; wheezy symptoms were higher in Anglos. There were no significant differences in the symptom prevalence rates between the two groups, after stratifying by current cigarette consumption and CRT. The spirometric values were not significantly different. In both ethnic groups, the prevalence rates of wheeze, SOBWHZ and asthma were significantly higher in those who had CRT. Among Anglos, less educated smokers had significantly higher prevalence rates of SOBWHZ and dyspnea; nonsmokers with less education had higher prevalence rates of cough, chronic cough and dyspnea. Our results confirm the importance of CRT and lower educational level as risk factors for respiratory symptoms. Ethnicity is not associated with symptomatology or lung function impairment.",151,"1","2024-04-24T20:50:54.042689Z",147,48.941,"5","2024-04-24T20:50:54.042689Z"
"Adult phosphorylase b kinase deficiency. Phosphorylase b kinase deficiency affecting muscle has been observed infrequently in children with weakness and hepatomegaly, and in 2 adults with cramps on exertion. We observed 2 additional adults with phosphorylase b kinase deficiency: Patient 1, aged 58, had progressive, predominantly distal weakness since age 46 but no cramps on exertion; Patient 2, aged 26, had cramps on exertion since age 6 but no weakness. Lactate production on ischemic exercise was impaired only in Patient 1. The serum creatine kinase level was elevated in both. Muscle specimens showed focal glycogen excess in both, and a necrotizing myopathy and mild denervation atrophy in Patient 1. Muscle phosphorylase b kinase activity was 0.5% and 8.9% of the lowest control value in Patients 1 and 2, respectively; erythrocyte phosphorylase b kinase activity was normal in both; liver phosphorylase b kinase activity, measured in Patient 1, was also normal. Other glycolytic enzymes in muscle were preserved in both.",152,"1","2024-04-24T20:51:11.465051Z",148,16.137,"5","2024-04-24T20:51:11.465051Z"
"Dyspareunia. Tracing the cause. Difficult or painful sexual intercourse is a sensitive topic for most women. The causes range from inflammation of the vulva and interstitial cystitis to marital discord. To exclude an organic disorder, a detailed pelvic examination with good lighting and magnification is in order. Dr DeWitt describes the technique for meticulous examination and discusses the diagnoses that need to be considered.",153,"1","2024-04-24T20:52:13.364861Z",149,60.824,"5","2024-04-24T20:52:13.364861Z"
